,roles,companies,locations,experience,skills
833,Data Scientist,AXCESS CONSULTANCY SERVICES,"Gurgaon, haryana",0-5 Yrs,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
834,Data Scientist,AXCESS CONSULTANCY SERVICES,Noida,0-3 Yrs,"Supply chain
Data analysis
Statistical analysis
Analytical
Machine learning
Data processing
Data mining
Operations"
835,Data Scientist | Academic Operations,AXCESS CONSULTANCY SERVICES,Bengaluru,1-5 Yrs,"data cleansing
Automation
Data analysis
Operations Manager
data science
Manager Program Management
Data collection
Feasibility analysis"
836,Data Scientist _ Senior,AXCESS CONSULTANCY SERVICES,Kochi,1-5 Yrs,"Data analysis
Business analytics
Consulting
Machine learning
Data collection
Agile
Business intelligence
Information technology"
837,Data Scientist,AXCESS CONSULTANCY SERVICES,Pune,0-5 Yrs,"data cleansing
Automation
Data analysis
data science
Manager Program Management
Artificial Intelligence
Data collection
Feasibility analysis"
838,Data Scientist,AXCESS CONSULTANCY SERVICES,Bengaluru,0-5 Yrs,"data cleansing
Automation
Data analysis
data science
Manager Program Management
Artificial Intelligence
Data collection
Feasibility analysis"
839,Data Scientist,AXCESS CONSULTANCY SERVICES,Pune,0-5 Yrs,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
840,Data Scientist,AXCESS CONSULTANCY SERVICES,Pune,0-5 Yrs,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
841,Data Scientist - Hadoop/ ETL/ Big Data/ SSIS,3D India Staffing Research Consulting Pvt Ltd,"Chennai, Pune, Delhi, Mumbai, Bengaluru, Kolkata",5-10 Yrs,"Communication Skills
Artificial Intelligence
Hadoop
Big Data
Informatica
Data Warehousing
Data Processing
ETL"
842,Data Scientist / Data Analyst,Bloom Consulting Services,Bengaluru,6-11 Yrs,"Computer science
SAS
Consulting
Data Analyst
Perl
Business solutions
Ruby
Performance improvement"
843,Data Scientist,DigiLantern,Noida,7-10 Yrs,"Computer science
Programming
Manager Technology
PHP
Perl
Statistics
Analytics
SQL"
844,"Data Scientist, Advanced Analytics",ICL Systems,Gurgaon,5-10 Yrs,"Training
Supply chain
Data analysis
Prototype
Network optimization
Machine learning
Debugging
Open source"
845,Data Scientist - Delivery,Uniphore,Bengaluru,4-6 Yrs,"Telecom
SAS
Bfsi
Consulting
Data processing
Customer service
Data mining
Forecasting"
846,SDE - Data Scientist,Zamroo,Noida,4-9 Yrs,"Computer science
Data analysis
Statistical analysis
Artificial Intelligence
Machine learning
Agile
model development
data visualization"
847,Data Scientist,ZingHR,Mumbai,5-7 Yrs,"Predictive modeling
Revenue generation
Monitoring
Testing"
848,Senior Data Scientist,CrossML,Chandigarh,5-9 Yrs,"Computer science
deep learning
data science
Machine learning
Information retrieval
Mathematics
Customer experience
Research"
849,Data Scientist,CNERGYIS INFOTECH INDIA PVT LTD,Mumbai,5-7 Yrs,"Predictive modeling
Revenue generation
Monitoring
Testing"
850,Data Scientist,Aarch Solutions,Bengaluru,8-13 Yrs,"Unix
Supply chain
Computer science
C++
Linux
Machine learning
SPSS
Data mining"
851,DATA SCIENTIST,SGF Global,Pune,5-10 Yrs,"Computer science
SAS
Coding
Machine learning
Application development
Data mining
Machinery
Analytics"
852,Data Scientist,Optimum Solutions,Chennai,5-10 Yrs,"hive
spark
SCALA
Hadoop
Application development
Data analytics
Teradata
SQL"
853,Data Scientist,Brillius technologies,Mumbai,4-8 Yrs,Data Scientist
854,Sr. Data Scientist,EagleView,Bengaluru,5-9 Yrs,"Training
Computer vision
deep learning
Neural networks
Opencv
Machine learning
Cloud
Python"
855,Machine Learning Developer / Data Scientist,Logica Infotech,Kolkata,5-10 Yrs,"Unix
SAN
jQuery
Linux
SAS
Data structures
Windows
SQL"
856,Data Scientist,Talent Zone Consultant,Bengaluru,4-6 Yrs,"4 plus years of experience of working in the areas related to data science including machine learning and text mining
Expert in R and Python with firm understanding of statistical modelling techniques and should be adept at handling unstructured data"
857,Data Scientist,Hookfish.in,Mumbai,4-8 Yrs,"Graphics
Administration
Sales operations
Strategic planning
PHP
Entrepreneur
Business strategy
Budgeting"
858,Senior Data Scientist,GO-JEK,Bengaluru,5-10 Yrs,"deep learning
data science
spark
Diversity and Inclusion
Data collection
Manager Technology
Mathematics
Monitoring"
859,Data Scientist,Optimum Solutions,Mumbai,4-8 Yrs,"Text mining
deep learning
Neural networks
spark
Machine learning
Forecasting
AWS
SQL"
860,Data Scientist,Ness Technologies,Bengaluru,5-10 Yrs,"Performance tuning
jQuery
Front end
System programming
Javascript
Data structures
HTML
WCF"
861,DATA SCIENTIST,Innefu Labs,Delhi,4-9 Yrs,"Business research
Manager Technology
Research"
862,Data Scientist,Blue Jeans Network,Bengaluru,5-10 Yrs,"Computer science
Usage
spark
Machine learning
SCALA
Predictive modeling
data visualization
big data"
863,Lead Data Scientist,staffio HR,Mumbai,5-10 Yrs,"operational support
Statistical modeling
Bfsi
Machine learning
HR
Data mining
big data
Forecasting"
864,DATA SCIENTIST,Saffron Consultancy Services(scs),Delhi,7-12 Yrs,"deep learning
Machine learning
Manager Technology
Data structures
Computer application
Executive management
Data mining
big data"
865,Data Scientist,Valiance Solutions,Noida,4-9 Yrs,"Logistic regression
advanced analytics
Client satisfaction
Senior management
Neural networks
Consulting
Machine learning
Workflow"
866,"Data Scientist, Advanced Analytics",ICL Systems,Gurgaon,5-10 Yrs,"Training
Supply chain
Data analysis
Prototype
Network optimization
Machine learning
Debugging
Open source"
867,Data Scientist Senior Consultant,Talent Toppers,Chennai,6-11 Yrs,"Computer science
Business communication
Operations research
Business analytics
Analytical
Agile
Customer service
Econometrics"
868,Data Scientist,Arnold Consulting Pvt Ltd,Bengaluru,6-11 Yrs,"Scalability
Consulting
Analytics
Python"
869,Senior Data Scientist,Opscruise,Chennai,5-10 Yrs,"Assurance
Networking
GCP
Machine learning
Javascript
Instrumentation
Pattern recognition
Oracle"
870,Data Scientist / Sr . Data Scientist,Piramal Healthcare,Vadodara,4-7 Yrs,"Computer science
Supply chain management
Prototype
Simulation
Machine learning
Agile
Analytics
SQL"
871,Data Scientist,ExecBoardinAsia,India,5-10 Yrs,"Redhat
Cloud
Architectural design
Infrastructure
Deployment"
872,Senior Data Scientist,GlaxoSmithKline Pharmaceuticals Limited,Bengaluru,5-9 Yrs,"Procurement
Business process
Claims
Prototype
Pharma
Machine learning
Healthcare
Information management"
873,Lead Machine Learning Engineer/ Data Scientist,whiz.ai,Pune,5-9 Yrs,"ERP
Analytical
XML
Machine learning
Data quality
MATLAB
Forecasting
SQL"
874,Data Scientist - Machine Learning/Artificial Intelligence/ Python,Careerera,Bengaluru,4-6 Yrs,"Data analysis
Image processing
Coding
Bfsi
Machine learning
Data structures
CMMI
Customer support"
875,Data Scientists,Arnold Consulting Pvt Ltd,Bengaluru,6-11 Yrs,"hive
tableau
Consulting
SQL
Python"
876,Senior Data Scientist,ExecBoardinAsia,Pune,5-10 Yrs,"Data analysis
Process optimization
Data mining
Testing"
877,Data Scientist,Arnold Consulting Pvt Ltd,Bengaluru,6-11 Yrs,Consulting
878,Data Scientist,ExecBoardinAsia,Chennai,5-10 Yrs,"Statistical analysis
data science
model development
Research
Monitoring"
879,Senior Data Scientist,ExecBoardinAsia,Pune,5-10 Yrs,"Data analysis
Statistical analysis
data science
Machine learning
Management
Research
Monitoring"
880,Sr Data Scientist,krtrimaIQ AI Solutions,Bengaluru,5-8 Yrs,"Computer science
Computer vision
deep learning
Data analysis
Neural networks
Machine learning
Presales
Natural language processing"
881,Data Scientist,Efftronics Systems Pvt Ltd,Vijayawada,5-10 Yrs,"Data analysis
C++
Data collection
Agile
Service
Predictive modeling
Graphputer science
Data mining"
882,Data Scientist,Innominds Software Pvt Ltd,India,4-8 Yrs,"Mining
Digital media
Email
Graph
Algorithms
Incubator
Information retrieval
Natural language processing"
883,Data Scientist,Teqnirvana Softech Solutions Pvt Ltd,Mumbai,5-10 Yrs,"doctor
Bsc
MIN
Breeding
Senior
mbbs
Hadoop
Research"
884,DATA SCIENTIST,Fiddich Consulting,Bengaluru,5-8 Yrs,"Algorithms
Data modeling
Analytical
Machine learning
Grid
Perl
Data mining
MATLAB"
885,Senior Data Scientist,Walmart Labs,Bengaluru,5-9 Yrs,"data science
big data analytics
Analytical
Technical Lead
Data mining
Teradata
big data
Forecasting"
886,Data Scientist,BrainToSoul Consulting,Bengaluru,5-10 Yrs,"Computer science
hive
Usage
NoSQL
data science
query
MongoDB
Data mining"
887,Data Scientist,Fitfyles LLP,Delhi,5-9 Yrs,"Logistic regression
Factor analysis
Algorithms
Simulation
Analytical
Tools
Healthcare
Forecasting"
888,Data Scientist Career Data Analytics Companies,ALLERIN TECHNOLOGIES Pvt Ltd.,Mumbai,10-15 Yrs,"Data analysis
Product engineering
Policies
Information security
Tools
Service
Data analytics
Oracle"
889,Data Scientist,RANG INFOSOFT PVT. LTD.,Bengaluru,4-6 Yrs,"Computer science
Web analytics
Machine learning
Tools
Time
Perl
Data mining
Open source"
890,"Data Scientist, Advanced",iXplore Technologies,Bengaluru,8-10 Yrs,"Graphics
Post production
Product engineering
data science
Enterprise Architect
System integration
Machine learning
Business intelligence"
891,Data Scientist,Germane Analytics Pvt Ltd,Bengaluru,8-13 Yrs,"C++
Algorithms
Simulation
Coding
MySQL
Machine learning
Javascript
Business Objects"
892,Senior Data Scientist / Algorithms Specialist,AmyLogic,Jaipur,4-6 Yrs,"Algorithms
SAS
Web analytics
MySQL
Tools
J2Ee
Informatica
Oracle"
893,Data Scientist,JIDOKA SYSTEMS PRIVATE LIMITED,Chennai,5-10 Yrs,"Computer science
Computer vision
C++
Prototype
Image processing
Machine learning
augmented reality
Information technology"
894,Most urgent vacancy For Data Scientist-Mumbai,Genius Consultants Limited,Mumbai,5-10 Yrs,"Data Scientist
Machine Learning
sr.data scientist
Deep Learning"
895,Senior Data Scientist,Tenzai,Bengaluru,6-8 Yrs,"customer segmentation
Computer vision
Machine learning
Data analytics
Data mining
Econometrics
big data
Forecasting"
896,Data Scientist,Eyeo,Remote,4-9 Yrs,"IT Skills
Python
Cloud
work from home
Web technologies
Version control
Linux
HP data protector"
897,Senior Data Scientist - Marketing Analytics,Scienaptic Systems,Bengaluru,5-7 Yrs,"CVS
Marketing analytics
Automation
Business analytics
Machine learning
Data mining
Digital marketing
Forecasting"
898,Data Scientist,DeHaat,Gurgaon,5-8 Yrs,"PDF
data science
Business solutions"
899,Data Scientist,Tatras,Delhi,4-8 Yrs,"Unix
C++
Linux
Django
Shell scripting
Machine learning
Data structures
Data mining"
900,Sr. Consultant - Data Scientist - Bengaluru - Analytics Vidhya,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,14-16 Yrs,"Computer science
Text mining
deep learning
big data analytics
Artificial Intelligence
Consulting
Machine learning
HTML"
901,Data Scientist,AXCESS CONSULTANCY SERVICES,Delhi,4-8 Yrs,"Unix
Linux
Django
Shell scripting
Machine learning
Data structures
Data mining
Information technology"
902,Data Scientist,Symmetrical Management Consulting,Noida,5-10 Yrs,"Statistical analysis
SAS
Database management
Data collection
HTML
WPS
Manager Quality Control
Data mining"
903,Senior Data Scientist,Aera Technology,Pune,5-10 Yrs,"algorithms
SAN
python
Data analysis
software development
Business operations
Computer science
operations"
904,Data Scientist,"Digital Management, Inc.",Bengaluru,5-10 Yrs,"Computer science
Data analysis
Factor analysis
Neural networks
Business analytics
Machine learning
Data processing
data visualization"
905,Data Scientist,The Data Team,Chennai,10-20 Yrs,"IT Skills
Java
Python
Angularjs
Javascript
Big Data
Azure
freelance"
906,Data Scientist,Skills Hr,Pune,5-10 Yrs,"Supply chain
Microstrategy
Analytical skills
Simulation
MySQL
Supply chain solutions
Data mining
Econometrics"
907,Snr Data Scientist - NBFC,Angel & Genie,Bengaluru,5-10 Yrs,"Data analysis
GIT
Analytical
Machine learning
Business intelligence
Analytics
Financial services
SQL"
908,DATA SCIENTIST,Fiddich Consulting,Bengaluru,5-8 Yrs,"Algorithms
Data modeling
Analytical
Machine learning
Grid
Perl
Data mining
MATLAB"
909,NLP & Text Mining Data Scientist,Valence Health,Pune,4-9 Yrs,"Unix
C++
Automation
data science
Linux
Agile
Data structures
Open source"
910,Scientific Research Data Scientist R&D,CareerXperts Consulting,Bengaluru,4-7 Yrs,"Unix
C++
GIT
Analytical
Consulting
Machine learning
Debugging
Product design"
911,"Data Scientist, Advanced",iXplore Technologies,Bengaluru,8-10 Yrs,"Graphics
Post production
Product engineering
data science
Enterprise Architect
System integration
Machine learning
Business intelligence"
912,Data Scientist Process Analytics Group,Tridiagonal Solutions Pvt. Ltd.,Pune,7-12 Yrs,"Mining
Computer science
Data management
Pharma
Consulting
Workflow
Data quality
Troubleshooting"
913,Data Scientist,Near Pte. Ltd.,Bengaluru,6-9 Yrs,"Telecom
Publishing
data science
spark
Analytical
Intellectual property
Data quality
Research"
914,VP - Data Scientist,Posterity Consulting,haryana,7-12 Yrs,"Product management
Consumer research
Integrated marketing
Statistical analysis
Business Analyst
Analytical
Consulting
Product design"
915,Data Scientist,Tatras,Delhi,4-8 Yrs,"Unix
C++
Linux
Django
Shell scripting
Machine learning
Data structures
Data mining"
916,Data Scientists,Analytics Vidhya Educon Pvt. Ltd,"Pune, Gurgaon",4-6 Yrs,"Computer science
Publishing
Analytical
Agile
Healthcare
HTML
Project planning
Predictive modeling"
917,Data Scientist Machine Learning,Symmetrical Management Consulting,Bengaluru,10-15 Yrs,"deep learning
Data modeling
Coding
Machine learning
E-commerce
HTML
HR"
918,Data Scientist - Machine Learning Engineer,Aera Technology,Pune,6-8 Yrs,"SAN
algorithms
Business operations
Computer science
Relationship Executive
apache
Linux
infrastructure"
919,Senior and Chief Data Scientists,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,5-10 Yrs,"C++
Business objects
SAS
Cognos
HTML
Perl
Teradata
Open source"
920,Web Analyst - Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,8-12 Yrs,"data science
SAS
Web analytics
Analytical
Social media
HTML
Omniture
Analytics"
921,Data Scientist Machine Learning,Symmetrical Management Consulting,Bengaluru,10-15 Yrs,"deep learning
Data modeling
Coding
Machine learning
E-commerce
HTML
HR"
922,Data Scientist - Machine Learning Engineer,Aera Technology,Pune,6-8 Yrs,"SAN
algorithms
Business operations
Computer science
Relationship Executive
apache
Linux
infrastructure"
923,Data Scientist,Skills Hr,Pune,5-10 Yrs,"Supply chain
Microstrategy
Analytical skills
Simulation
MySQL
Supply chain solutions
Data mining
Econometrics"
924,Snr Data Scientist - NBFC,Angel & Genie,Bengaluru,5-10 Yrs,"Data analysis
GIT
Analytical
Machine learning
Business intelligence
Analytics
Financial services
SQL"
925,DATA SCIENTIST,Weatherford (CPS) DPS India,Mumbai,5-9 Yrs,"Computer science
Linux
cassandra
Machine learning
Agile
Workflow
HTTP
SQL"
926,Scientific Research Data Scientist R&D,CareerXperts Consulting,Bengaluru,4-7 Yrs,"Unix
C++
GIT
Analytical
Consulting
Machine learning
Debugging
Product design"
927,Data Scientist,AppZen,Pune,4-6 Yrs,"Computer science
Computer vision
deep learning
Aerospace
Pharma
Machine learning
Data quality
Predictive modeling"
928,"Data Scientist, Advanced",iXplore Technologies,Bengaluru,8-10 Yrs,"Graphics
Post production
Product engineering
data science
Enterprise Architect
System integration
Machine learning
Business intelligence"
929,Sr. Data Scientist,Jet2 Travel Technologies Pvt. Ltd.,Pune,5-10 Yrs,"Data Science
Storyboarding
SQL Server
Machine Learning
Python"
930,VP - Data Scientist,Posterity Consulting,haryana,7-12 Yrs,"Product management
Consumer research
Integrated marketing
Statistical analysis
Business Analyst
Analytical
Consulting
Product design"
931,Data Scientist,Healtheoz India,Noida,4-8 Yrs,"Computer science
Cloud computing
Logistic regression
PDF
Machine learning
linear regression
Predictive modeling
data visualization"
932,Senior Data Scientist,Cynosure Corporate Solutions,Gurgaon,5-10 Yrs,"Algorithms
Computer Science
Neural Networks
Product Engineering
Machine Learning
Statistics
Deep Learning
Linear Algebra"
933,Data Scientist - R Modeling,GOLDEN OPPORTUNITIES PVT LTD.,Mumbai,6-11 Yrs,"BPO
Junior Analyst
Root cause analysis
Data validation
Publishing
Pharma
IT support
Programming"
934,Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Pune,5-10 Yrs,"Computer science
Qualitative research
Data analysis
Machine learning
HTML
Predictive modeling
SPSS
Multivariate analysis"
935,Data Scientist - R Modeling,GOLDEN OPPORTUNITIES PVT LTD.,Mumbai,6-11 Yrs,"BPO
Junior Analyst
Root cause analysis
Data validation
Publishing
Pharma
IT support
Programming"
936,Data Analyst/Scientist,itForte Staffing Services Private Ltd.,Gurgaon,3-7 Yrs,"MS SQL
Algorithms
Consulting
Machine learning
Data collection
Tools
Data Analyst
Technology solutions"
937,Senior Scientist/ NLP/ Machine Learning/ Data Mining Professional,Career Maker,Bengaluru,2-7 Yrs,"Java
C++
R
NLP
Linux
SAS
Data Management
Data Mining"
938,Senior Scientist/nlp/ Machine Learning/ Data Mining Professional,Career Maker,Bengaluru,2-7 Yrs,"Java
C++
R
NLP
Linux
SAS
Data Management
Data Mining"
939,Senior Scientist/nlp/machine Learning/data Mining,Career Maker,Bengaluru,4-9 Yrs,"Java
C++
R
NLP
Linux
SAS
Data Management
Data Mining"
940,Senior Scientist/nlp/machine Learning/data Mining Professional,Career Maker,Bengaluru,4-9 Yrs,"model validation
nlp
Linux
data mining
scientist
predictive modeling
model development
software engineering"
941,Senior Scientist/nlp/ Machine Learning/data Mining Professional,Career Maker,Bengaluru,4-9 Yrs,"Java
C++
R
NLP
Linux
SAS
Data Management
Data Mining"
942,Research Scientist - IBM Research,IBM India Pvt. Limited,Bengaluru,1-2 Yrs,"Java
C
Algorithms
Artificial Intelligence
Data Structures
Information Extraction
Information Retrieval
Text Mining"
943,Speech Scientist - Artificial Intelligence/machine Learning,Career Maker,Noida,2-6 Yrs,"Speech Recognition
Java
C++
NLP
Artificial Intelligence
Data Scientist
Data Management
Machine Learning"
944,Speech Scientist - Artificial Intelligence/machine Learning,Career Maker,Bengaluru,3-8 Yrs,"Biometrics
Java
Speech Recognition
C++
NLP
Artificial Intelligence
Computer Vision
Machine Learning"
945,Research Scientist - Machine Learning/artificial Intelligence,Career Maker,Bengaluru,3-8 Yrs,"Java
C++
Data Scientist
Artificial Intelligence
Data Management
Machine Learning
Algorithm
Data Structure"
946,Machine Learning Scientist - Python/java/c++,Career Maker,Hyderabad,8-12 Yrs,"Unix
Java
C++
Linux
Project Management
Machine Learning Scientist
Machine Learning
Python"
947,Machine Learning Scientist - R/python,Career Maker,Bengaluru,4-9 Yrs,"Java
C++
R
eCommerce
Data Scientist
Data Management
Perl
Machine Learning"
948,Senior Manager/ Operations Research Scientist,Career Maker,Bengaluru,5-10 Yrs,"R
CPLEX
Perl
Machine Learning
PhD
MATLAB
Algorithm
SQL"
949,Research Scientist - Machine Learning Development - Java/c++/perl,Career Maker,Bengaluru,5-10 Yrs,"Java
C++
R
Data Management
Data Mining
Perl
Data Modeling
Machine Learning"
950,Sr Manager/ Operations Research Scientist- Machine Learning/ Algorithm,Career Maker,Bengaluru,5-10 Yrs,"R
CPLEX
Perl
Machine Learning
PhD
MATLAB
Algorithm
SQL"
951,Research Scientist - Machine Learning Development,Career Maker,Bengaluru,5-10 Yrs,"Java
C++
R
Data Management
Data Mining
Perl
Data Modeling
Machine Learning"
952,Research Scientist- Machine Learning Development- Java/c++/perl/python,Career Maker,Bengaluru,5-10 Yrs,"Java
predictive modelling
C++
Data Management
Data Mining
Perl
Machine Learning
MATLAB"
953,R & D Scientist,First American (India) Pvt Ltd,Bengaluru(Indra Nagar),8-13 Yrs,"Pytorch
Tensorflow
Data Science
R
Caffe
Keras
Computer Vision
Machine Learning"
954,Principal AI Scientist - ML Engineering,Target Corporation India Pvt Ltd,Bengaluru,10-12 Yrs,"Data analysis
Supply chain management
Simulation
data science
Machine learning
Predictive modeling
Training and Development
Data mining"
955,Speech Scientist - Artificial Intelligence/ Machine Learning,Career Maker,Noida,2-6 Yrs,"Speech Recognition
Java
C++
NLP
Artificial Intelligence
Data Scientist
Data Management
Machine Learning"
956,Research Scientist - Machine Learning /artificial Intelligence,Career Maker,Bengaluru,3-8 Yrs,"Java
C++
Data Scientist
Artificial Intelligence
Data Management
Machine Learning
Algorithm
Data Structure"
957,Research Scientist / Engineer - Computer Vision/machine Learning,Career Maker,Hyderabad,4-9 Yrs,"Deep learning
C++
Multithreading
Image Processing
Computer Vision
Machine Learning
PhD"
958,Research Scientist/engineer - Computer Vision/machine Learning,Career Maker,Hyderabad,4-9 Yrs,"C++
Multithreading
Image Processing
Multi - threading
Computer Vision
Machine Learning
concurrency"
959,AI/NLP Scientist,SequoiaAT India Private Limited,Trivandrum,3-7 Yrs,"Computer science
deep learning
Data analysis
GIT
Neural networks
Social networking
Programming
Natural language processing"
960,AI/NLP Scientist,SequoiaAT India Private Limited,Trivandrum,3-7 Yrs,"Computer science
deep learning
Data analysis
GIT
Neural networks
Social networking
Programming
Natural language processing"
961,"Cognitive Research Scientist (SME), Cognitive Computing",Gladwin Analytics,"Bengaluru, Hyderabad",5-10 Yrs,"Maven
Prototype
Linux
Artificial Intelligence
MySQL
Machine learning
Natural language processing
Oracle"
962,Senior Manager/operations Research Scientist,Career Maker,Bengaluru,5-10 Yrs,"R
CPLEX
Perl
Machine Learning
MATLAB
Algorithm
SQL
Clojure"
963,Research Scientist - Machine Learning/ Artificial Intelligence,Career Maker,Bengaluru,5-10 Yrs,"Java
C++
Data Scientist
Artificial Intelligence
Data Management
Machine Learning
Algorithm
Data Structure"
964,Applied Scientist - Computer Vision - C++/ Java/ R,Career Maker,Bengaluru,5-10 Yrs,"Java
C++
R
Data Scientist
Data Management
Computer Vision
MATLAB
PhD"
965,Speech Scientist - Artificial Intelligence/ Machine Learning,Career Maker,Bengaluru,5-10 Yrs,"Biometrics
Java
Speech Recognition
C++
NLP
Artificial Intelligence
Computer Vision
Machine Learning"
966,Machine Learning Scientist - R/ Python,Career Maker,Bengaluru,4-9 Yrs,"Java
C++
R
eCommerce
Data Scientist
Data Management
Perl
Machine Learning"
967,Political Scientist,ihackers,"Delhi, sachin",0-1 Yrs,"Power house
Interpersonal skills
Time management
Information security
Analytical
Artificial Intelligence
Machine learning
Research"
968,Applied Scientist (Machine Learning),3rd.Life,"Mumbai, Kolkata",10-12 Yrs,"algorithms
technical
software
usage
VOIP
Data mining
research
analytics"
969,Machine Learning Scientist,Hike Ltd,Delhi,8-13 Yrs,"Text mining
C++
cassandra
Machine learning
SCALA
Information retrieval
Data mining
Gaming"
970,Machine Learning Scientist - Chatbot/nlp,The Hiring Story,Mumbai,2-5 Yrs,"NLP
NoSQL
Chatbot
Machine Learning
MapReduce
SQL"
971,Operations Research Scientist,Hyrefox,Bengaluru,3-5 Yrs,"Supply chain
Operations research
Statistical modeling
data science
Demand forecasting
Network expansion
Routing
Scheduling"
972,Machine Learning Scientist - Chatbot/ NLP,The Hiring Story,Mumbai,2-5 Yrs,"NLP
Algorithms
Front End
Natural Language Processing
User Experience
Mapreduce
Machine Learning
Deep Learning"
973,"Senior Decision Scientist , Risk Management",Analytics Vidhya Educon Pvt. Ltd,Bengaluru,2-7 Yrs,"Logistic regression
Data analysis
Operations research
data science
Risk analytics
HTML
Risk management
MATLAB"
974,Principal Scientist - Zyoin,Zyoin Web Pvt.Ltd,"Mumbai, Bengaluru",2-5 Yrs,"Computer science
Automation
Data analysis
SAS
Analytical
Artificial Intelligence
Machine learning
Data mining"
975,Deep Learning research Scientist,Endimension Technology Private Limited,Mumbai,1-5 Yrs,"deep learning
Computer vision
PDF
Machine learning
Architecting
Research
Python"
976,Ai Scientist,Accrete.AI,Mumbai,2-3 Yrs,"Computer science
deep learning
Data analysis
Neural networks
Analytical
Artificial Intelligence
Machine learning
Agile"
977,Decision Scientist - Machine Learning Engineer,Analytics Vidhya Educon Pvt. Ltd,Noida,0-5 Yrs,"NoSQL
Machine learning
HTML
MongoDB
Data mining
MATLAB
Analytics
SQL"
978,"Decision Scientist , Risk Management",Analytics Vidhya Educon Pvt. Ltd,Bengaluru,2-4 Yrs,"Analytical skills
Logistic regression
Data analysis
Operations research
Machine learning
HTML
Risk management
MATLAB"
979,Senior Machine Learning Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,3-5 Yrs,"User research
Computer vision
data science
Machine learning
Data structures
HTML
Predictive modeling
Analytics"
980,Lead AI Scientist - Statistics/ML/Pricing/Optimization,Target Corporation Pvt Ltd,Bengaluru,6-11 Yrs,"evaluate demand
math/stats models"
981,Operations Research Scientist for A reputed IT Organisation for Kolkat,Ascend HR Solutions,Kolkata,8-13 Yrs,"Operations research
SAS
Demand forecasting
Programming
Scheduling
it
Business Executive
research"
982,Machine Learning Scientist,CAREER MAKERS,"Bengaluru, Bengaluru / Bangalore",5-10 Yrs,"IT Skills
Java
Python
Software Development
Machine Learning
matlab
python
java"
983,CPU Architecture Research Scientist,Approgence Inc.,Bengaluru,10-15 Yrs,"Building
C++
Architecture
Intellectual property
Architectural design
Perl
Box
System software"
984,Sr Executive /Ass. Manager DSP - Research Scientist,Jobsguru Consultant Pvt. Ltd,Delhi NCR,5-10 Yrs,Analytics
985,Lead AI Scientist,Target Corporation India Pvt Ltd,Bengaluru,6-11 Yrs,"Supply chain
C++
Data analysis
Machine learning
Troubleshooting
Open source
Data mining
Distribution system"
986,Machine Learning Scientist,CAREER MAKERS,Bengaluru,5-10 Yrs,"matlab
python
java
software development
c
data modeling
data mining
perl"
987,Machine Learning Scientist,CAREER MAKERS,"Bengaluru, Bengaluru / Bangalore",5-8 Yrs,"IT Skills
Java
Python
Software Development
Machine Learning
matlab
python
java"
988,Machine Learning Scientist,CAREER MAKERS,Bengaluru,5-10 Yrs,"C++
Data modeling
Machine learning
Perl
Predictive modeling
Presentation skills
Data mining
MATLAB"
989,Lead Artificial Intelligence Scientist - Big Data/nlp,Anbiya Technologies,Chennai,5-10 Yrs,"Tensorflow
Apache Spark SQL
Artificial Intelligence
Cassandra
Big Data
Apache Server
Webservices
Spark Streaming"
990,Data Science- Python Programming Language Analyst,Accenture Solutions Pvt Ltd,Mumbai,3-5 Yrs,"Data Science
Artificial Intelligence
Business Insights
Python Programming
Analytics
programming
Python"
991,Data Science Engineer,Bigshyft Hiring for TechStar Group,Bengaluru,3-6 Yrs,"R
Spark
Machine Learning ML
Statistical Modelling
Python"
992,"Analytics Consultant, Python/R",Fractal Analytics Ltd,"Mumbai, Bengaluru, Gurgaon",1-6 Yrs,"Computer science
Data conversion
Project management
Machine learning
Data quality
Predictive modeling
Anova
Stakeholder management"
993,Machine Learning Manager - R/ Python/ Java,Career Maker,Hyderabad,3-8 Yrs,"Java
R
C++
Big Data
Machine Learning
PhD
Python
MapReduce"
994,Data Science Analyst - Time Series Forecasting/Python,LotusOne Talent Solutions,Hyderabad,2-5 Yrs,"Anomaly Detection
Data Science
Multivariate Analysis
Regression Analysis
R
Exploratory Data Analysis
Keras
Machine Learning"
995,Data Analyst,SUPPORT STAR CORPORATE SERVICES PVT. LTD.,Hyderabad,2-5 Yrs,"Statistical modeling
model validation
SAS
model development
Predictive modeling
Credit risk
credit card
credit model"
996,Machine Learning Manager - R/python/java,Career Maker,Hyderabad,3-8 Yrs,"Java
R
C++
Map - Reduce
Machine Learning Manager
predictive modeling
MPI
Big Data"
997,Senior Manager - Engineering,Indegene Private Limited,Bengaluru,5-10 Yrs,"Pytorch
Tensorflow
Data Science
Java
NLP
Artificial Intelligence
Healthcare
Keras"
