,roles,companies,locations,experience,skills
170,Data Scientist,TensorGo Technologies Private Limited,Hyderabad,2-6 Yrs,"Computer vision
Logistic regression
Statistical analysis
data science
MySQL
Machine learning
SCALA
Programming"
171,Senior Data Scientist–(Exp In SQL/Python),KP HR AND INFRA SERVICES,Pune(Viman Nagar),4-7 Yrs,"Data Science
PYTHON
Machine Learning
SQL"
172,Data Scientist - Manufacturer of High Quality Storage Products,NewAge Products Inc,Mumbai,5-10 Yrs,"python
predictive modeling
neural networks
business solutions
product data management
clustering
machine learning
inventory management"
173,Data Scientist - Big Data / Machine Learning,India Israel Innovation HUB,Delhi NCR,7-12 Yrs,"C#
Data Science
Java
Data Scientist
Artificial Intelligence
SCALA
Big Data
Senior Data Scientist"
174,Lead - Data Scientist - Kota ( Rajasthan ).,Consult in India,Kota,4-9 Yrs,"Data Validation
Business Intelligence
C++
Big Data Analytics
Data Mining
Machine Learning
SQL
Data Integration"
175,Data Scientist,Consult Shekhar Pandey,"Delhi NCR, Bengaluru",5-10 Yrs,"Predictive Modeling
Pattern Recognition
R
SAS
Seaborn
Tableau
Machine Learning
Statistics"
176,Chief Data Scientist (Fraud Risk Management),PERFECT PEOPLE SEARCH,Bengaluru,7-10 Yrs,"Risk Assessment
Artificial Intelligence
Operational Risk Management
Natural Language Processing
Machine Learning
Risk Management
Deep Learning
Fraud Analytics"
177,Lead Data Scientist,KnowDis Data Science LLP,"Delhi NCR(Shalimar Bagh), Delhi",7-12 Yrs,"Machine Learning
NLP
Computer Science
Neural Networks
Neural Information Retrieval
Computer Vision"
178,Senior Data Scientist,Fractal Analytics Ltd,Bengaluru,4-8 Yrs,"Process automation
Biometrics
customer analytics
Prototype
Diagnostics
Analytical
Artificial Intelligence
Machine learning"
179,Planning COE Data Scientist,Hewlett Packard Enterprise,Bengaluru,10-15 Yrs,"Supply chain
Computer science
Demand planning
SAS
Machine learning
Agile
Data processing
QlikView"
180,Data Scientist,TRIDENT LIMITED,Ludhiana,2-4 Yrs,"Product Development
Predictive Modeling
Business Solutions
Revenue Generation
Marketing"
181,Data Scientist,Kline & Company,Hyderabad,3-5 Yrs,"Business objects
Data analysis
SAS
Consulting
Agile
Business intelligence
Oracle
Data mining"
182,Data Scientist,Indian Political Action Committee,Hyderabad,3-8 Yrs,"jQuery
XML
Eclipse
Wordpress
PHP
HTML
Troubleshooting
SQL"
183,Data Scientist,"ANMUTSOLUTIONS Pvt,Ltd.","Bengaluru, Hyderabad",3-8 Yrs,"ERP
Data analysis
SAS
Simulation
Analytical
Machine learning
Healthcare
Data mining"
184,Germany MNC Looking For Data Scientist,Pleco Migration Private Limited,"Denmark, Poland",2-7 Yrs,"data extraction
company research
senior analyst
Data Scientist
data mining
Lead Data Analyst
Data Management
Senior Data Scientist"
185,Data Scientist - Python/r,Catalyst,Bengaluru,2-6 Yrs,"Data Science
R
Data Scientist
Data Management
product development
Python
SQL"
